symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_currency,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
ABBN.SW,ABBN,ABB,ai-passives;bottleneck-sectors;companies;latent-ai-nodes;market-snapshot;robotics,True,,CHF,86.1,59.22,40.59,CHF,151428049974.0,192207623832.0,2026-06-02T15:30:47+00:00,2026-06-02,https://finance.yahoo.com/quote/ABBN.SW/,https://query1.finance.yahoo.com/v8/finance/chart/ABBN.SW?range=ytd&interval=1d,
ACLS,ACLS,Axcelis Technologies,semiconductor-ai-nodes;semiconductor-alpha-cpo,True,,USD,158.78,80.34,84.37,USD,4623000000.0,4623000000.0,2026-06-02T20:00:01+00:00,2026-06-02,https://finance.yahoo.com/quote/ACLS/,https://query1.finance.yahoo.com/v8/finance/chart/ACLS?range=ytd&interval=1d,
ACM,ACM,AECOM,latent-ai-nodes,True,,USD,71.44,95.33,-25.89,USD,9286000000.0,9286000000.0,2026-06-02T20:00:02+00:00,2026-06-02,https://finance.yahoo.com/quote/ACM/,https://query1.finance.yahoo.com/v8/finance/chart/ACM?range=ytd&interval=1d,
ACMR,ACMR,ACM Research,semiconductor-ai-nodes;semiconductor-alpha-cpo,True,,USD,91.92,39.45,104.81,USD,5670000000.0,5670000000.0,2026-06-02T20:00:01+00:00,2026-06-02,https://finance.yahoo.com/quote/ACMR/,https://query1.finance.yahoo.com/v8/finance/chart/ACMR?range=ytd&interval=1d,
ACUVI.ST,ACUVI.ST,Acuvi,robotics,True,,SEK,12.8,17.26,-24.17,SEK,418273618.0,44880759.21,2026-06-02T15:24:33+00:00,2026-06-02,https://finance.yahoo.com/quote/ACUVI.ST/,https://query1.finance.yahoo.com/v8/finance/chart/ACUVI.ST?range=ytd&interval=1d,
ADI,ADI,Analog Devices,ai-passives;robotics;semiconductor-ai-nodes;semiconductor-alpha-cpo,True,,USD,423.2,271.2,54.6,USD,206135000000.0,206135000000.0,2026-06-02T20:00:00+00:00,2026-06-02,https://finance.yahoo.com/quote/ADI/,https://query1.finance.yahoo.com/v8/finance/chart/ADI?range=ytd&interval=1d,
AEHR,AEHR,Aehr Test Systems,latent-ai-nodes;scaling;semiconductor-ai-nodes;semiconductor-alpha-cpo;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,USD,113.0,20.19,409.93,USD,3554000000.0,3554000000.0,2026-06-02T20:00:00+00:00,2026-06-02,https://finance.yahoo.com/quote/AEHR/,https://query1.finance.yahoo.com/v8/finance/chart/AEHR?range=ytd&interval=1d,
AEIS,AEIS,Advanced Energy Industries,ai-passives,True,,USD,312.28,209.37,40.67,USD,12495000000.0,12495000000.0,2026-06-02T20:00:01+00:00,2026-06-02,https://finance.yahoo.com/quote/AEIS/,https://query1.finance.yahoo.com/v8/finance/chart/AEIS?range=ytd&interval=1d,
AEVA,AEVA,Aeva,robotics,True,,USD,27.76,13.28,117.73,USD,1750000000.0,1750000000.0,2026-06-02T20:00:01+00:00,2026-06-02,https://finance.yahoo.com/quote/AEVA/,https://query1.finance.yahoo.com/v8/finance/chart/AEVA?range=ytd&interval=1d,
AI.PA,AI,Air Liquide,companies,True,,EUR,176.54,160.26,11.03,EUR,102583000000.0,119314287300.0,2026-06-02T15:38:55+00:00,2026-06-02,https://finance.yahoo.com/quote/AI.PA/,https://query1.finance.yahoo.com/v8/finance/chart/AI.PA?range=ytd&interval=1d,
AIN,AIN,Albany International,latent-ai-nodes-strict,True,,USD,64.92,50.7,24.04,USD,1812449234.0,1812449234.0,2026-06-02T20:00:02+00:00,2026-06-02,https://finance.yahoo.com/quote/AIN/,https://query1.finance.yahoo.com/v8/finance/chart/AIN?range=ytd&interval=1d,
AIP,AIP,Arteris,scaling,True,,USD,37.94,15.5,143.52,USD,1706000000.0,1706000000.0,2026-06-02T20:00:01+00:00,2026-06-02,https://finance.yahoo.com/quote/AIP/,https://query1.finance.yahoo.com/v8/finance/chart/AIP?range=ytd&interval=1d,
AIT,AIT,Applied Industrial Technologies,latent-ai-nodes-strict,True,,USD,308.31,256.77,18.75,USD,11124082650.0,11124082650.0,2026-06-02T20:00:03+00:00,2026-06-02,https://finance.yahoo.com/quote/AIT/,https://query1.finance.yahoo.com/v8/finance/chart/AIT?range=ytd&interval=1d,
AIXA.DE,AIXA.DE,Aixtron,latent-ai-nodes;semiconductor-ai-nodes;semiconductor-alpha-cpo,True,,EUR,57.92,17.305,195.66,EUR,6273149421.0,7296300091.57,2026-06-02T15:35:03+00:00,2026-06-02,https://finance.yahoo.com/quote/AIXA.DE/,https://query1.finance.yahoo.com/v8/finance/chart/AIXA.DE?range=ytd&interval=1d,
ALAB,ALAB,Astera Labs,ai-passives;beneficiaries;companies;market-snapshot;semiconductor-ai-nodes;semiconductor-alpha-cpo,True,,USD,355.76,166.36,98.13,USD,60980000000.0,60980000000.0,2026-06-02T20:00:01+00:00,2026-06-02,https://finance.yahoo.com/quote/ALAB/,https://query1.finance.yahoo.com/v8/finance/chart/ALAB?range=ytd&interval=1d,
ALFA.ST,ALFA.ST,ALFA.ST,bottleneck-sectors;latent-ai-nodes;market-snapshot,True,,SEK,522.6,465.7,11.57,SEK,211292412228.0,22671675832.06,2026-06-02T15:29:41+00:00,2026-06-02,https://finance.yahoo.com/quote/ALFA.ST/,https://query1.finance.yahoo.com/v8/finance/chart/ALFA.ST?range=ytd&interval=1d,
ALG,ALG,Alamo Group,latent-ai-nodes-strict,True,,USD,152.76,167.87,-10.37,USD,1823547881.0,1823547881.0,2026-06-02T20:00:03+00:00,2026-06-02,https://finance.yahoo.com/quote/ALG/,https://query1.finance.yahoo.com/v8/finance/chart/ALG?range=ytd&interval=1d,
ALGM,ALGM,Allegro MicroSystems,semiconductor-ai-nodes;semiconductor-alpha-cpo,True,,USD,50.33,26.38,87.03,USD,8776661994.0,8776661994.0,2026-06-02T20:00:01+00:00,2026-06-02,https://finance.yahoo.com/quote/ALGM/,https://query1.finance.yahoo.com/v8/finance/chart/ALGM?range=ytd&interval=1d,
ALKAL.PA,ALKAL.PA,Kalray,scaling,True,,EUR,14.54,1.18,1084.04,EUR,219636698.0,255459443.44,2026-06-02T15:35:18+00:00,2026-06-02,https://finance.yahoo.com/quote/ALKAL.PA/,https://query1.finance.yahoo.com/v8/finance/chart/ALKAL.PA?range=ytd&interval=1d,
ALLT,ALLT,Allot,scaling,True,,USD,8.18,9.83,-15.32,USD,354203000.0,354203000.0,2026-06-02T20:00:00+00:00,2026-06-02,https://finance.yahoo.com/quote/ALLT/,https://query1.finance.yahoo.com/v8/finance/chart/ALLT?range=ytd&interval=1d,
ALNT,ALNT,Allient,robotics,True,,USD,85.42,53.75,53.69,USD,1408500949.0,1408500949.0,2026-06-02T20:00:01+00:00,2026-06-02,https://finance.yahoo.com/quote/ALNT/,https://query1.finance.yahoo.com/v8/finance/chart/ALNT?range=ytd&interval=1d,
ALQ.AX,ALQ.AX,ALS,latent-ai-nodes-strict,True,,AUD,23.575,22.04,6.87,AUD,11947551697.0,8578342118.45,2026-06-03T00:02:29+00:00,2026-06-02,https://finance.yahoo.com/quote/ALQ.AX/,https://query1.finance.yahoo.com/v8/finance/chart/ALQ.AX?range=ytd&interval=1d,
ALRIB.PA,ALRIB.PA,Riber,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,EUR,16.56,3.5,362.57,EUR,327385000.0,380781493.5,2026-06-02T15:36:07+00:00,2026-06-02,https://finance.yahoo.com/quote/ALRIB.PA/,https://query1.finance.yahoo.com/v8/finance/chart/ALRIB.PA?range=ytd&interval=1d,
